ID,Language_Name,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Source,Meta_Language_ID,LGR_Conformance,Comment,Gloss_LaTeX
16,Pitjantjatjara,pitj1243,Paluṟu wati nyara waṟangku mutaka palyanu,Paluṟu wati nyara waṟa-ngku mutaka palya-nu,3SG.NOM man distant tall-ERG car fix-PST,The tall man over there (in contrast to the other one) fixed the car.,"bowe1990[34, (114)]",stan1293,MORPHEME_ALIGNED,,3\Sg{}.\Nom{} man distant tall-\Erg{} car fix-\Pst{}
17,Guugu Yimidhirr,gugu1255,Nyulu nhayun waarigan gaday waangguwunaarnay.,Nyulu nhayun waarigan gada-y waanggu=wunaarna-y.,3SG.NOM that.ABS moon.ABS come-PST sleep=lie+REDUP-PST,[Then] the Moon came and lay down to sleep.,"haviland1979[157, (423)]",stan1293,MORPHEME_ALIGNED,,3\Sg.\Nom{} that.\Abs{} moon.\Abs{} come-\Pst{} sleep=lie+\Redup-\Pst
18,Guugu Yimidhirr,gugu1255,Bidha nyulu biini.,Bidha nyulu biini.,child.ABS 3SG.NOM die.PST,The child died.,"haviland1979[157, (424a)]",stan1293,MORPHEME_ALIGNED,,child.\Abs{} 3\Sg.\Nom{} die.\Pst{}
19,Kuku Yalanji,kuku1273,nyulu jalbu,nyulu jalbu,3SG woman,the woman,patz2002[202; gloss extrapolated],stan1293,MORPHEME_ALIGNED,,3\Sg{} woman
20,Kuku Yalanji,kuku1273,Yurra karrkay dungay bana mana!,Yurra karrkay dunga-y bana mana!,2PL.NOM(SARG) child.ABS(SARG) go-IMP water.ABS(OBJ) get.IMP,You children go and get water!,"patz2002[203, (620)]",stan1293,MORPHEME_ALIGNED,,2\Pl{}.\Nom{}(\Sarg{}) child.\Abs{}(\Sarg{}) go-\Imp{} water.\Abs{}(\Obj{}) get.\Imp{}
21,Kuku Yalanji,kuku1273,Pastor nyulu…,Pastor nyulu…,pastor 3SG,"Pastor, he…","patz2002[202, (611); gloss extrapolated]",stan1293,MORPHEME_ALIGNED,,pastor 3\Sg{}
22,Kuku Yalanji,kuku1273,Ngayu babi wilbuman yindu ngamu nganjin dungariny mayi bakanka.,Ngayu babi wilbuman yindu ngamu nganjin dunga-ri-ny mayi baka-nka.,1SG.NOM(SARG) father's.mother.ABS(SARG) old.woman.ABS(SARG) other.ABS(SARG) mother.ABS(SARG) 1PL.EXCL.NOM(SARG) go-PL-PST food.ABS(OBJ) dig-PURP,"I, grandmother, another old woman and mother, we went out to dig for food (yams).","patz2002[203, (618)]",stan1293,MORPHEME_ALIGNED,,1\Sg{}.\Nom{}(\Sarg{}) father's.mother.\Abs{}(\Sarg) old.woman.\Abs{}(\Sarg{}) other.\Abs{}(\Sarg{}) mother.\Abs{}(\Sarg{}) 1\Pl{}.\Excl{}.\Nom{}(\Sarg{}) go-\Pl{}-\Pst{} food.\Abs{}(\Obj{}) dig-\Purp
23,Kayardild,kaya1319,niya jungarra dangkaa,niya jungarra dangkaa,he big man,the big man,evans1995[239],stan1293,WORD_ALIGNED,,he big man
24,Malagasy,mala1537,izaho vehivavy,izaho vehivavy,1SG.DEF woman,I woman,"paultravis2019[411, (6a)]",stan1293,WORD_ALIGNED,,1\Sg.\Def{} woman
25,Indonesian,stin1234,"kami, bangsa Indonesia","kami, bangsa Indonesia",we people Indonesia,"we, the people of Indonesia",sneddon1996[170],stan1293,WORD_ALIGNED,,we people Indonesia
26,Papuan Malay,papu1250,"de blang, a, om ko ini tra liat…","de blang, a, om ko ini tra liat…",3SG say ah! uncle 2SG DEM.PROX NEG see,"he said, ""ah, you uncle there didnt see…"" ","kluge2017[353, (66)]",stan1293,WORD_ALIGNED,,3\Sg{} say ah! uncle 2\Sg{} \Dem.\Prox{} \Neg{} see
27,Loniu,loni1238,sεh pihin sεh čani uwεh kaman uwεh wεčε ake,sεh pihin sεh čani uwεh kaman uwεh wεčε ake,3PL woman 3PL clear 1PL.EXCL man 1PL.EXCL cut.down tree,"The women clear, we men cut down the trees.","hamel1994[90, (6)]",stan1293,WORD_ALIGNED,,3\Pl{} woman 3\Pl{} clear 1\Pl.\Excl{} man 1\Pl.\Excl{} cut.down tree
28,Loniu,loni1238,iy amat iyɔ,iy amat iyɔ,3SG man DEM,this man,"hamel1994[100, (89)]",stan1293,WORD_ALIGNED,,3\Sg{} man \Dem
29,Windesi Wamesa,wame1241,sinitupatata,sinitu=pa-tata,person=DET-1PL.INCL,we people,"gasser2014[144, (3.46)]",stan1293,MORPHEME_ALIGNED,,person=\Det{}-1\Pl{}.\Incl{}
30,Maori,maor1246,E kaha rawa atu maatou ngaa kaiako naa ki te patapatai,E kaha rawa atu [maatou ngaa kaiako naa] ki te pata·patai,TAM strong very away 1PL.EXCL the.PL teacher DEM.2 to the REDUP·ask,We teachers ask a lot of questions.,"bauer1993[373, (1673)]",stan1293,WORD_ALIGNED,,\Tam{} strong very away 1\Pl.\Excl{} the.\Pl{} teacher \Dem.2 to the \Redup{}\textperiodcentered{}ask
31,Tuvaluan,tuva1244,Au ttino poto koo leva ne iloa nee au mea kolaa faatoaa iloa nee koe ttagata valea.,Au ttino poto koo leva ne iloa nee au mea kolaa faatoaa iloa nee koe ttagata valea.,I the+person intelligent PFV long.time PST know ERG I thing those just know ERG you the+man stupid,"I, an intelligent person, have long known what you, stupid man, are just discovering.","besnier2000[393, (2018)]",stan1293,WORD_ALIGNED,,I the+person intelligent \Pfv{} long.time \Pst{} know \Erg{} I thing those just know \Erg{} you the+man stupid
32,Tuvaluan,tuva1244,Taatou tino Tuuvalu e see tau ki meakkai kolaa.,Taatou tino Tuuvalu e see tau ki meakkai kolaa.,we.INCL person Tuvalu NPST NEG befit to food those,We Tuvaluans are not accustomed to that [type of] food.,"besnier2000[393, (2019)]",stan1293,WORD_ALIGNED,,we.\Incl{} person Tuvalu \Npst{} \Neg{} befit to food those
33,Kwaio,kwai1243,'agaurua ta'a i 'Ai'eda,'a-gauru-a ta'a i 'Ai'eda,FPRON.3TRI-? people LOC 'Ai'eda,those Aieda people,keesing1985[104],stan1293,MORPHEME_ALIGNED,"The status of the -a intervening between pronoun and noun is not clear, see Höhn (2020: 25) for speculation that this might be a reduced article.", \Fpron.3\Tri-? people \Loc{} 'Ai'eda
34,Kwaio,kwai1243,famerua ta'a geni,fa-meru-a ta'a geni,for-SPRON.1TRI.EXCL-? people female,for us women,keesing1985[104],stan1293,MORPHEME_ALIGNED,"The status of the -a intervening between pronoun and noun is not clear, see Höhn (2020: 25) for speculation that this might be a reduced article.",for-\Spron.1\Tri.\Excl-? people female
35,Arop-Lokep,arop1243,am garup ke Bok,am garup ke Bok,1EXCL.PL female.one of Bok,we women of Bok village,djernes2002[255],stan1293,WORD_ALIGNED,,1\Excl.\Pl{} female.one of Bok
36,Cheke Holo,chek1238,Tahati naikno ḡre e kmana puipuhida,Tahati naikno ḡre e kmana pui~puhi=da,1PL.INCL people DEM.PROX.PL EMPH lot.of DUR~way=1PL.POSS,We people have had many problems.,"boswell2018[165, (591)]",stan1293,MORPHEME_ALIGNED,,1\Pl.\Incl{} people \Dem.\Prox.\Pl{} \Emph{} lot.of \Dur~way=1\Pl.\Poss{}
37,Cheke Holo,chek1238,Gotilo Honiara falelehe egu,Gotilo Honiara fa-le~lehe egu,2PL Honiara CAUS-DUR~die like.that,"You people of Honiara kill [people], like that.","boswell2018[99, (301)]",stan1293,MORPHEME_ALIGNED,,2\Pl{} Honiara \Caus-\Dur~die like.that
38,Hoava,hoav1238,"Maki lavati sa pa Solomone, gi taṉani gita nikana hupa.","Maki lavati sa pa Solomone, gi ta-ṉani gita nikana hupa.",NEG.IMP big 3SG LOC Solomons and PASS-eat 1PL.INCL man black,"Let it [a monkey] not grow big in the Solomons, and we black men be bitten.","davis2003[48, (72a)]",stan1293,MORPHEME_ALIGNED,,\Neg{}.\Imp{} big 3\Sg{} \Loc{} Solomons and \Pass-eat 1\Pl.\Incl{} man black
39,Kokota,koko1269,gai nakoni zuzufra,gai nakoni zuzufra,we.EXCL person black,we black people,"palmer2008[95, (3.70a)]",stan1293,MORPHEME_ALIGNED,,we.\Excl{} person black
40,Kokota,koko1269,ka gai ira nakoni zuzufra tana nogoi naito tahi ke aḡeuniu,ka gai ira nakoni zuzufra tana nogoi naito tahi ke aḡe=u=ni=u,LOC we.INCL the.PL person black then VOC devil sea PFV go=be.thus=3SG.OBJ=CNT,"With us black people, then, man!, sea devil is what its called.","palmer2008[123, (4.1b)]",stan1293,MORPHEME_ALIGNED,,\Loc{} we.\Incl{} the.\Pl{} person black then \Voc{} devil sea \Pfv{} go=be.thus=3\Sg.\Obj=\Cnt
41,Kannada,nucl1305,na:vu bra:hmaNaru vidyeyannu mareyaba:radu.,na:vu bra:hmaNaru vidyeyannu mareyaba:radu.,we Brahmin.PL education.ACC forget.INF.PROH,We Brahmins shouldnt forget education.,"sridhar1990[209, (755)]",stan1293,WORD_ALIGNED,,we Brahmin.\Pl{} education.\Acc{} forget.\Inf.\Proh
42,Malayalam,mala1464,ɲaŋŋaɭ intyakkaar adhikavum sasyabhuukkukaɭ aaɳə,ɲaŋŋaɭ intyakkaar adhikavum sasyabhuukkukaɭ aaɳə,we.EXCL Indians mostly vegetarian.PL be.PRS,We Indians are mostly vegetarians.,"asherkumari1997[262, (1340)]",stan1293,WORD_ALIGNED,,we.\Excl{} Indians mostly vegetarian.\Pl{} be.\Prs{}
43,Tamil,tami1289,naaŋka iŋliişkaaraŋkellaam kaaramaana vastu caappiʈaratille,naaŋka iŋliişkaaraŋkellaam kaaramaana vastu caappiʈaratille,we English.person.PL.all spicy thing eat.PRS.NOM.NEG,We English do not eat hot things.,asher1985[146],stan1293,WORD_ALIGNED,,we English.person.\Pl.all spicy thing eat.\Prs.\Nom{}.\Neg
44,Welsh,wels1247,ni fyfyrwyr,ni fyfyrwyr,we SOFTMUT.student.PL,we students,hoehn2024[Supplementary Material S3],stan1293,WORD_ALIGNED,provided by David Willis (personal communication),we \Softmut.student.\Pl{}
45,Danish,dani1285,lad os voksne snakke i fred,lad os voksne snakke i fred,let.IMP 1.PL.ACC adults talk.INF in peace,Let us adults talk in peace.’,"schroeter2021[29, (32b)]",stan1293,WORD_ALIGNED,,let.\Imp{} 1.\Pl.\Acc{} adults talk.\Inf{} in peace
46,Icelandic,icel1247,við/ þið Íslendigar,við/ þið Íslendigar,we you.PL Icelanders,we/ you Icelanders,"sigurdssonwood2020[11, (16a)]",stan1293,WORD_ALIGNED,,we you.\Pl{} Icelanders
47,Norwegian,norw1258,til oss (to) (gamle) professorane,til oss (to) (gaml-e) professor-a-ne,to us two old-DEF professor-PL-DEF,to us (two) (old) professors,"julien2005[129, (4.36)]",stan1293,MORPHEME_ALIGNED,,to us two old-\Def{} professor-\Pl-\Def{}
48,Swedish,swed1254,vi studenter,vi student-er,we student-PL,we students,"julien2005[128, fn. 18, (ia)]",stan1293,MORPHEME_ALIGNED,,we student-\Pl{}
49,Dutch,dutc1256,Wij/ jullie taalkundigen denken te veel na.,Wij/ jullie taalkundigen denken te veel na.,we you.PL linguists think too much PRTCL,We/you linguists think too much.,"corver2008vocative[52, (23a)]",stan1293,WORD_ALIGNED,,we you.\Pl{} linguists think too much \Prtcl{}
50,German,stan1295,Wenn noch nicht einmal du Linguist die neue Rechtschreibung beherrschst…,Wenn noch nicht einmal [du Linguist] die neue Rechtschreibung beherrschst…,if still NEG PRTCL you.SG linguist DET.ACC.SG new orthography command.2SG,If not even you linguist have a command of the new orthography rules…,"rauh2004[100, (36)]",stan1293,WORD_ALIGNED,,if still \Neg{} \Prtcl{} you.\Sg{} linguist \Det.\Acc.\Sg{} new orthography command.2\Sg{}
51,Standard Modern Greek,mode1248,Emis i ghlosoloji piname.,Emis i ghlosoloji piname.,we DET.PL linguists are.hungry.1PL,We linguists are starving/hungry.,"lekakouszendroi2012[114, (12c)]",stan1293,WORD_ALIGNED,,we \Det.\Pl{} linguists are.hungry.1\Pl{}
52,Calabrian Greek/Greko,aspr1238,Emì ta pedìa den pìnnome kafè.,Emì ta pedìa den pìnnome kafè.,we DET.N.PL children.N NEG drink.1PL coffee,We children dont drink coffee.,"hoehnetalICGLcalabria[274, (17)]",stan1293,WORD_ALIGNED,,we \Det.\N.\Pl{} children.\N{} \Neg{} drink.1\Pl{} coffee
53,Kashmiri,kash1277,əs' kə:shir' chi kə:r'gar.,əs' kə:shir' chi kə:r'gar.,we Kashmiris are artisans,We Kashmiris are artisans.,"walikoul1997[200, (8)]",stan1293,WORD_ALIGNED,,we Kashmiris are artisans
54,Marathi,mara1378,āmhi̅ bāyakā nehmi̅ts āplyā kutumbã̅n sāṭhi̅ khapto,āmhi̅ bāyakā nehmi̅ts āplyā kutumbã̅n sāṭhi̅ khapto,we women always-EMPH REFL families for work.hard-1PL,We women always work hard for the sake of our families.,"pandharipande1997[386, (1141)]",stan1293,WORD_ALIGNED,,we women always-\Emph{} \Refl{} families for {work.hard-1\Pl}
55,Punjabi,panj1256,asĩĩ pañjaabii garam mijaaj de ãã.,asĩĩ pañjaabii garam mijaaj de ãã.,we Punjabi hot nature GEN.M.PL are,We Punjabis are hot blooded/tempered.,"bhatia1993[228, (703)]",stan1293,WORD_ALIGNED,,we Punjabi hot nature \Gen.\M.\Pl{} are
56,Persian,west2369,ma irania,ma irani-a,we Iranian-PL,we Iranians,"mahootian1997[212, (356)]",stan1293,WORD_ALIGNED,,we Iranian-\Pl
57,Aromanian,arom1237,noi pikurarli adrem pini.,noi pikurar-li adrem pini.,we shepherd-DEF.PL baled bread,We shepherds baked bread.,hoehn2024[Supplementary Material S3],stan1293,MORPHEME_ALIGNED,"elicited, see also Höhn (2016:546)",we shepherd-\Def.\Pl{} baled bread
58,Romanian,roma1327,Voi avocații vă apărați clienții.,Voi avocații vă apărați clienții.,you.PL lawyers-DEF CL.2PL defend cuzstomers-DEF,You lawyers defend your clients.,"cornilescunicolae2014[10, (20a)]",stan1293,WORD_ALIGNED,,you.\Pl{} lawyers-\Def{} \Cl.2\Pl{} defend cuzstomers-\Def{}
59,Catalan,stan1289,nosaltres els bombers,nosaltres els bombers,we DET.PL firemen,we firemen,hualde1992catalan[290],stan1293,WORD_ALIGNED,,we \Det.\Pl{} firemen
60,Galician,gali1258,nos os estudantes,nos os estudantes,we DET.PL students,we students,"hoehn2015unagr[560, (36a)]",stan1293,WORD_ALIGNED,,we \Det.\Pl{} students
61,European Portuguese,port1283,Nós portugueses bebemos bom café.,Nós portugueses bebemos bom café.,we Portuguese drink.1PL good coffee,We Portuguese drink good coffee.,hoehn2015unagr[555],stan1293,WORD_ALIGNED,,we Portuguese drink.1\Pl{} good coffee
62,Spanish,stan1288,Nosotros los lingüistas somos listos.,Nosotros los lingüistas somos listos.,we DET.PL linguists be.1PL smart,We linguists are smart.,"choi2014phd[210, (38a)]",stan1293,WORD_ALIGNED,,we \Det.\Pl{} linguists be.1\Pl{} smart
63,Italian,ital1282,noi/ voi linguisti,noi/ voi linguisti,we you.PL linguists,we/you linguists,"cardinaletti1994[202, (21a)]",stan1293,WORD_ALIGNED,,we you.\Pl{} linguists
64,Northern Calabrese,nort2612,Nua i quatrarə iucamə i cartə.,Nua i quatrarə iucamə i cartə.,we DET.PL children play.1PL DET.PL cards,We children play cards.,"hoehnetalICGLcalabria[276, (23b)]",stan1293,WORD_ALIGNED,,we \Det.\Pl{} children play.1\Pl{} \Det.\Pl{} cards
65,Southern Calabrese,sout2616,Nui i figghioli iocamu e carti.,Nui i figghioli iocamu e carti.,we DET.PL children play.1PL DET.PL cards,We children play cards.,"hoehnetalICGLcalabria[276, (23c)]",stan1293,WORD_ALIGNED,,we \Det.\Pl{} children play.1\Pl{} \Det.\Pl{} cards
66,Russian,russ1263,my leningradcy,my leningradcy,we Leningrader.PL,we Leningraders,"pesetsky1978[352, (4c)]",stan1293,WORD_ALIGNED,,we Leningrader.\Pl
67,Bulgarian,bulg1262,nie studentite,nie student-i-te,we students-PL-DEF,we students,hoehn2015unagr[560],stan1293,MORPHEME_ALIGNED,,we students-\Pl-\Def
68,Pomak,poma1238,'nami Po'matsemse no na pʌ'maga 'nikutri,'nami Po'matsem-se no na pʌ'maga 'nikutri,we.DAT Pomak.DAT.PL-DET.PROX 1PL.ACC NEG help.3SG nobody,Nobody helps us Pomaks.,papadimitriou2008[582],stan1293,MORPHEME_ALIGNED,,we.\Dat{} Pomak.\Dat.\Pl{}-\Det.\Prox{} 1\Pl.\Acc{} \Neg{} help.3\Sg{} nobody
69,Polish,poli1260,My lingwiści lubimy formalizację.,My lingwiści lubimy formalizację.,we linguists like.1PL formalisation,We linguists like formalisation.,"rutkowski2002[161f., (3b)]",stan1293,WORD_ALIGNED,,we linguists like.1\Pl{} formalisation
70,Khoekhoe/Nama,nama1264,sa k͜hoeta ké nĩ ra ǁ'o.,sa k͜hoe-ta ké nĩ ra ǁ'o.,ART.ADDR person-1PL.INCL.COMMON TOP? COMPEL PROG die,We humans have to die.,"boehm1985[133, (27b)]",stan1293,MORPHEME_ALIGNED,,\Art{}.\Addr{} person-1\Pl{}.\Incl{}.\Common{} \Top{}? \Compel{} \Prog{} die
71,Khwe/Kxoe,kxoe1243,Hè é tó Khwétò dì góέ à tó ò ǁé Qúvaǁè ǂxàátè à.,{Hè é} tó Khwé-tò dì góέ à tó ò ǁé Qúva-ǁè ǂxà-á-tè à.,DEM 2PL.COMMON Khwe-2PL.COMMON POSS cattle OBJ 2PL.COMMON POSS 1PL.M White-1PL.M give-I-PRS OBJ,"Here are yours, the Khwes cows that we, the Whites, give you.","kilianhatz2008[41, (1) quoting Köhler 1989:514f.]",stan1293,MORPHEME_ALIGNED,,\Dem{} 2\Pl{}.\Common{} Khwe-2\Pl{}.\Common{} \Poss{} cattle \Obj{} 2\Pl{}.\Common{} \Poss{} 1\Pl{}.\M{} White-1\Pl{}.\M{} give-I-\Prs{} \Obj{}
72,Kinyarwanda,kiny1244,Nubaha wow mukire.,N-ubah-a wow mu-kire.,1SG.SUBJ-respect-FV 2SG NCL1-rich.man,I respect you rich man.,"vanderwal2022[69, (73a)]",stan1293,MORPHEME_ALIGNED,,1\Sg.\Subj-respect-\Fv{} 2\Sg{} \Ncl{}1-rich.man
73,Luganda,gand1255,Ffe abantu abaavu ffe tubonaabona.,Ffe abantu abaavu ffe tubonaabona.,we people poor 1PL suffer,We poor people suffer.,hoehn2024[Supplementary Material S3],stan1293,WORD_ALIGNED,elicited with Jenneke van der Wal from Saudah Namyalo (pers. comm.),we people poor 1\Pl{} suffer
74,Nkore-Kiga,nkor1241,itwe abanyankore nituhinga ebinyoobwa,itwe abanyankore ni-tu-hinga ebinyoobwa,we Banyankole PRS.IPFV-1PL-cultivate groundnuts,We Banyankole grow groundnuts.,"taylor1985[131, (368)]",stan1293,MORPHEME_ALIGNED,,we Banyankole \Prs.\Ipfv-1\Pl-cultivate groundnuts
75,Nzadi,nzad1234,ntə̂m. yε kó luzíŋ ↓é bï andzéé bǐ k yéè ntswé ninyá bɔ. atá…,ntə̂m. yε kó luzíŋ ↓é bï andzéé bǐ k yéè ntswé ninyá bɔ. atá[…],taste and LOC life of us Nzadi.people we NEG.PRS sell fish that NEG even,"… tasty. In the tradition of us Nzadi, we dont sell that fish. Even…","craneetal2011[279, (10)]",stan1293,WORD_ALIGNED,,taste and \Loc{} life of us Nzadi.people we \Neg.\Prs{} sell fish that \Neg{} even
76,Swahili,swah1253,Nyinyi wanafunzi mmecheka.,Nyinyi wa-nafunzi m-me-cheka.,you.PL NCL2-student 2PL-PST-laugh,You students laughed.,hoehn2024[Supplementary Material S3],stan1293,MORPHEME_ALIGNED,"elicited from Vital Kazimoto (pers. comm.), cf. also Höhn (2016:546)",you.\Pl{} \Ncl{}2-student 2\Pl{}-\Pst-laugh
77,Babungo,veng1238,yìa vɨ́ɨ ndâa gə́ ntó',yìa vɨ́ɨ ndâa gə́ ntó',we.EXCL people smithy go-PRS palace,"We, the blacksmiths, go to the palace.","schaub1985[197, (134a)]",stan1293,WORD_ALIGNED,,we.\Excl{} people smithy go-\Prs{} palace
78,Koromfe,koro1298,ʊkɔ (a) korombʌ,ʊkɔ (a) korombʌ,we ART Koromba,we Koromba,"rennison1997[251, (585)]",stan1293,WORD_ALIGNED,,we \Art{} Koromba
79,Supyire,supy1237,wùu shìin taanré,wùu shìin taanré,we person.NCL1.PL three,we three,"carlson1994[208, (45a)]",stan1293,WORD_ALIGNED,,we person.\Ncl{}1.\Pl{} three
80,Menya,meny1245,Nyi täŋgaŋi Matiu iquki kukŋuä hni yatŋqä kimŋqäi.,Nyi tä=ŋga=ŋi Matiu i=qu=k=i kukŋuä hn=i yatŋqä k-i-m=ŋqä=i.,1SG this=TIME=GVN Matthew DEM=M=2SG=OBJ talk INDF=F ask 2SG-do-1SG/IRR=GOAL=IND,Im now going to ask you Matthew something.,"whitehead2006[30, (58)]",stan1293,MORPHEME_ALIGNED,,1\Sg{} this=\textsc{time}=\Gvn{} Matthew \Dem=\M={2\Sg}=\Obj{} talk \Indf=\F{} ask 2\Sg-do-1\Sg/\Irr=\textsc{goal}=\Ind{}
81,Menya,meny1245,Ne ämaqä qokä iqune yiämisaŋä huiyinä qw änkqäqui.,Ne ämaqä qokä i=qu=ne yiämisaŋä huiyi=nä qw ä-n-k-qäqu=i.,1PL person man DEM=M=1PL food other=FOC CERT ASS-eat-PST/PFV-1PL/DSO=IND,Then we men ate some other food.,"whitehead2006[30, (59)]",stan1293,MORPHEME_ALIGNED,,1\Pl{} person man \Dem=\M={1\Pl} food other=\Foc{} \Cert{} \Ass-eat-\Pst/\Pfv{}-1\Pl/\Dso=\Ind{}
82,Menya,meny1245,Hnquki quwä ämatqäi,Hn=qu=ki quwä ä-ma-t-qä=i,INDF=M=2SG steal ASS-get-2SG/IRR-GENERIC=DEF,Should one of you steal something…,"whitehead2013[9, (18)]",stan1293,MORPHEME_ALIGNED,,\Indf{}=\M=\textbf{2\Sg} steal \Ass-get-2\Sg/\Irr-\Generic=\Def{}
83,Momu,fass1245,"Yery mu, baso nenwu wutaru.","Yery mu, baso nenwu wu-ta-r-u.",1PL women child belly INAN:be.at-STVZR-1PLSG-NMLZ,"For we women, we get pregnant (lit. children are in our bellies).","honeyman2016[568, (4)]",stan1293,MORPHEME_ALIGNED,,1\Pl{} women child belly \Inan:be.at-\Stvzr-1\Pl\Sg{}-\Nmlz
84,Imonda,imon1245,ka sebuhe tõgõ filit,ka sebuhe tõgõ fi-li-t,1 devil thus do-EMPH-CF,We devils should have done it like that.,"seiler1985[61, (8)]",stan1293,MORPHEME_ALIGNED,,1 devil thus do-\Emph-\Cf
