,lang_name,iso639_3,glottocode,walscode,printname,Oc.printname,P3.printname,lat,lon,hjust,vjust,Oc.hjust,Oc.vjust,P3.hjust,P3.vjust,coord_notes,print,sort_affiliation,family_genus,genus_wals,genus.print,genus.rough,sclass.long,area.specific,area,area_glottolog,area_wals,refs,lang_comment,ref2,"elicited, pc etc.",include,Morph. Case,NP concord,WO,verb_object_order_wals,WO.WALS.,verb_object_order,WO.complex,adpos.dir,adposition_order_wals,adpos.WALS.sourced,adposition_order,adpositions (tendency),genitive.detail,genitive_order_wals,genitive.WALS.sourced,genitive_order,pro drop,NP order,"DemOrder (WALS clearly has the wrong value according to the citation there, Palmer 2002:503)",DemOrder.simple,demonstrative_order_wals,DemOrder.WALS.sourced,demonstrative_order,Dem. compat.APCdir,definite_article,article_distinct_third,article_order,demonstrative_as_third,third.Dem.complex,demonstrative_w_article,"Demtype (Dist., Pers/Dist)",Dem+Proper,Art+Proper,nominal_person,APC.complex,APC,APC_order,bound_person_order,boundPers.withAPC,person_allowed,person_third_available,number_allowed,person_complex,number_complex,N-Pron,Pron-N,APC+Proper,nominal_person_w_article,APC with def marker,unagreement,Pron-Num,full pronoun,affix,PronNum.non-suppletive,Pron.Num=N-Num,Pron.case=N.case,Modify pron by adj,Dem pron=adnom,Dempron restrictions,3rd=Dem.complex,Def by Dem,Def by 3rd pron,Pron+Dem,PPDC,PPDC_comment,PPDC_ref,Pron>Dem,Dem>Pron,“optional” number marking in NP,assoc. plural,V agr,we + X,inclusory pronoun construction,COMMENTS,PostP+preAPC,refs_bib,PPDC_refs_bib
10,Guugu Yimidhirr,kky,gugu1255,guu,GYimidhirr,Guugu Yimidhirr,GYimidhirr,-14.9424,144.831,0.5,-0.5,0.5,-0.7,1.0,-0.4,,1.0,"(Australian) Pama-Nyungan, Yimidhirr-Yalanji-Yidinic, Guugu-Yimidhirr","Pama-Nyungan, Yimidhirr-Yalanji-Yidinic",Northern Pama-Nyungan,Northern Pama-Nyungan,Pama-Nyungan,"(Australian) Pama-Nyungan, Yimidhirr-Yalanji-Yidinic","Oceania, Australia",Australia,Australia,Australia,"Haviland 1979:104, 156f.",,,,y,y,y [or NP-final marking],OV,OV,1.0,OV,SOV,post,,0.0,unclear,post?,,NoDom,1.0,NoDom,radical?,PersPron Dem N Poss,Dem N/(N Dem),both,DemN,1.0,DemN,y,n,n,,n,n,,"2, dist",,,y,y,y,both,n,,all?,y,unclear (+pl),"all? (+3, ?12)",all? (+pl),y,y,y,,,,,,n,,,,,,,n,,,y,y,,"Haviland 1979: 73, (107); 157, (423); 160",y,n,,y?,n,,y,,y,"haviland1979[104, 156f.]","haviland1979[73, (107)];157,(423);160"
11,Kuku-Yalanji,gvn,kuku1273,kya,KYalanji,Kuku-Yalanji,KYalanji,-16.0036,145.188,-0.1,0.5,-0.1,0.5,-0.1,0.6,,1.0,"(Australian) Pama-Nyungan, Yimidhirr-Yalanji-Yidinic, Yalandyic","Pama-Nyungan, Yimidhirr-Yalanji-Yidinic",Northern Pama-Nyungan,Northern Pama-Nyungan,Pama-Nyungan,"(Australian) Pama-Nyungan, Yimidhirr-Yalanji-Yidinic","Oceania, Australia",Australia,Australia,Australia,"Patz 2002:120f, 202f.",recheck p. 139 for preposition value!,,,y,y,y,OV,OV,1.0,OV,SOV,post,pre,1.0,pre,"post/pre?; WALS decision is based on one example with word “like""",,NoDom,1.0,NoDom,,Dem N N/ (Dem) N (Dem),Dem N/N Dem,both,mixed,1.0,mixed,y,n,n,,n,n,,"2, dist?",,,y,y,y,both,n,,all?,y,all,"all? (+23, ?1)",all,(y),y,y,,,,,,n,,,,,,,n,,,y,y,,"Patz 2002:204, (625)",,,,„they Doris“,n?,,y,formal distinction between APCs and inclusory construction unclear,y (ambi),"patz2002[120f, 202f.]","patz2002[204, (625)]"
12,Kayardild,gyd,kaya1319,kay,Kayardild,Kayardild,Kayardild,-17.0695,139.489,0.3,1.65,0.3,1.7,1.1,0.3,,1.0,"(Australian) Macro-Pama-Nyungan, Tangkic",Tangkic,Tangkic,Tangkic,Tangkic,(Australian) Tangkic,"Oceania, Australia",Australia,Australia,Australia,"Evans 1995:239, 241; Round 2013: 141",,,,y,y,y,NC,No dominant order,1.0,NC,discourse prominent,post,NoAdpos,1.0,NoAdpos,post?,,GenN,1.0,GenN,radical?,[(A) N A Dem?] ??,Dem N,Dem N,DemN,1.0,DemN,y,n,n,,n,n,,"2, dist?",,,y,y,y,pre,n,,all,y,all,all,all,n,y,,,,,,,n,,,y,,,,n,,y,y,y,,"Evans 1995:251, (6-37)",y,,,,n?,,,,y,"evans1995[239, 241];round2013[141]","evans1995[251, (6-37)]"
13,Kalamang,kgv,kara1499,,,Kalamang,,,,,,,,,,,,(Papuan) ,,,,,(Papuan) ,,,,,"Visser 2022:136f., 194f., 317f.",,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,"visser2022[136f., 194f., 317f.]",
14,Siroi,ssd,siri1273,ssd,,,,,,,,,,,,,,(Papuan) ,,,,,(Papuan) ,,,,,Wells 1979: 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wells1979[46],
15,Menya,mcr,meny1245,mey,,Menya,,-7.17425,146.071,-0.25,1.6,0.0,1.5,,,,1.0,"(Papuan) Angan, Nucelar Angan, Kapau-Menya",Angan,Nuclear Angan,Nuclear Angan,,"(Papuan) Angan, Nucelar Angan","Oceania, Papua New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Whitehead 2006:40, 46, 56f.; Whitehead 2013:9f., 18f.",,,,y,,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post (clitics),,GenN,1.0,GenN,agree,,N Dem,N Dem,NDem,1.0,NDem,n,n,n,,n,n,,,,,y,y,n,,post,pre,all,y,all,,,n,y,y,,,,,,,,,,,,,n,y,n,y,y,,"Whitehead 2006:30, (58/59)",(y) for prenominal pronoun,y,,,,,,,,"whitehead2006[40, 46, 56f.];whitehead2013[9f., 18f.]","whitehead2006[30, (58/59)]"
16,Momu,fqs,fass1245,fqs,,Momu,Momu,-3.10868,141.64,-0.1,-0.7,0.0,-0.6,,,,1.0,"(Papuan) Baibai-Fas, Momu-Fas","Baibai-Fas, Momu-Fas",Baibai-Fas,Baibai-Fas,Fas,"(Papuan) Baibai-Fas, Momu-Fas","Oceania, Papua New-Guinea","Oceania, Melanesia",Papunesia,Papunesia,Honeyman2017:169f.,,,,y,,n,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,agree,N Adj Num Q Dem,N Dem,N Dem,,0.0,NDem,n,n,n,,n,n,,2 dist,,,y,y,y,pre,n,,no 3?,n?,non-sg,unclear (+1),non-sg,n,y,,,,,,,,,,,,,,,,,,y,,"Honeyman 2016:559, (9/10)",,,y (mostly only by verbal crossreference),,,,,,,honeyman2017[169f.],"honeyman2016[559, (9/10)]"
17,Imonda,imn,imon1245,imo,,Imonda,,-3.31228,141.171,1.25,1.3,1.15,0.5,0.5,-0.7,,1.0,"(Papuan) Border, Waris","Border, Waris",Border,Border,"Border, Waris","(Papuan) Border, Waris","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Seiler 1985:44, 61f.",pronouns without number marking,,,y,,n,OV,OV,1.0,OV,SOV/V-final (flexible),post,post,1.0,post,post,,GenN,1.0,GenN,?,(Det N (N)/N Det) Poss N Adj RC,Dem N/N Dem,both,mixed,1.0,mixed,y,n,n,,n,n,,"2, dist (plus optional elevational markers)",,,y,y,y,both,n,,all,y,nonum,all,NA (no number distinction),y (typically for emphatic pronouns),y,,,,,,,n,,,,,,,n,,,,,,,,,,,y (number),,,four personal pronouns w/o number distinction,y (ambi),"seiler1985[44, 61f.]",
18,Bilua,blb,bilu1245,bil,,Bilua,Bilua,-7.92388,156.663,0.8,-0.8,1.2,-0.2,0.7,-0.8,,1.0,(Papuan) Central Solomons,Bilua,Bilua,Bilua,Central Solomons,(Papuan) Central Solomons,"Oceania, Solomon Islands","Oceania, Melanesia",Papunesia,Papunesia,"Obata 2003: 47-49, 76, 79, 84f., 87-89, 92f.",Generalised person marking in NP?,,,y,,pronom.marking of ModifierPhrases (restricted PNG),VO,VO,1.0,VO,SVO,post,post,1.0,post,post,,GenN,1.0,GenN,,Det Q Mod measurePron N Mod coll/pl-marker pronom-clitic,Dem N,Dem N,DemN,1.0,DemN,y,n,n,,y,y,,"2, dist (dist usable as default def.marker)",,,y,y,y,pre,post,pre,all,y,all,all,all,(y for pronominal enclitic),y,,,,,,,suffix,,,,,,,y,y,(y),(n?),y,,"Obata 2003: 289, (8)",,,n (marking by ,y/n (no associative marker),"y (subj, obj clitics)",,,"possible co-occurrence of prox.dem and indef.pronoun; pronouns, kinship terms, personal names and locational nouns as inherently definite; Q „many“ does not trigger plural agreement",y (n for PNG marker),"obata2003[47-49, 76, 79, 84f., 87-89, 92f.]","obata2003[289, (8)]"
19,Lavukaleve,lvk,lavu1241,lav,,Lavukaleve,Lavukaleve,-9.05569,159.119,0.0,1.6,1.15,0.5,0.0,1.6,,1.0,(Papuan) Central Solomons,Lavukaleve,Lavukaleve,Lavukaleve,Central Solomons,(Papuan) Central Solomons,"Oceania, Solomon Islands","Oceania, Melanesia",Papunesia,Papunesia,Terrill 2003:171-173,,,,y,n?,y (gender),OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,agree,N Num/Adj Dem Art (Appos. Dem/Pronouns),N Dem,N Dem,,0.0,NDem,y,"y (number, gender marking)",y,NArt,y,y,"n (demonstrative modifier), y („appositive“ dem.pronouns which follow the article)","3 (2 dist, 1 dist-neutral; + a rarer unspecified form)",,IS,y,y(?),y,post,n,,all,y,unclear (+pl),all,unclear (1pl examples),y,n,,y,possible (not clear if obligatory),,,,n,n (sg vs du/pl),n,,n,,,y,,,y? (demonstrative modifier),y_nn,Essentially two demonstratives co-occurring,"Terrill 2003:181, (220-1)",y (foia hoia),n,n,no info,y,no info,,,,terrill2003[171-173],"terrill2003[181, (220-1)]"
20,Moskona,mtj,mosk1236,,,Moskona,,-1.62201,133.145,0.0,-0.7,0.9,1.6,0.9,-0.6,,1.0,"(Papuan) East Bird’s Head, Meax","East Bird’s Head, Meax",East Bird's Head,East Bird's Head,,"(Papuan) East Bird’s Head, Meax","Oceania, Papua New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Gravelle 2010:91, 222-224, 344",,,,y,n,(y),VO,,0.0,VO,SVO,pre,,0.0,pre,pre (except spatial relations postnominal),,,0.0,GenN,agree,Poss N Attr Q RC Spec Dem,N Dem,N Dem ,,0.0,NDem,n,n,n,,n,n,,"3, dist (+ elevation, directiona, visibility)",,,y,y,n,,pre,pre,all,y,unclear (+pl),"all (+1, +3)","unclear (+pl, +du)",n,y,,,,,,,,,,,,,,n,,,y,y,,"Gravelle 2010:187, 224",y,n,,,,,,,,"gravelle2010[91, 222-224, 344]","gravelle2010[187, 224]"
21,Sougb,mnx,mani1235,sgb,,Sougb,,-1.49611,133.95,,,-0.2,0.6,,,,,"(Papuan) East Bird’s Head, Sougb",Sougb,East Bird's Head,East Bird's Head,,"(Papuan) East Bird’s Head, Sougb","Oceania, Papua New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Reesink 2002:269f., 274",,,,y,,,VO,VO,1.0,VO,SVO,,pre,1.0,pre,,,GenN,1.0,GenN,,N Adj Num Dem,,,NDem,1.0,NDem,n,n,n,,,,n,,,,y,y,y,pre,n,,all,y,unclear (+pl),"all (+1, +3)",unclear (+pl),,,,,,,,,,,,,,,,,,,,y,,"Reesink 2002:271, (13)",,,,,,,,,,"reesink2002[269f., 274]","reesink2002[271, (13)]"
22,Hatam,had,hata1243,hat,,Hatam,,-1.13531,134.037,,,0.0,-0.7,,,,,"(Papuan) Hatam-Mansin, Hatam","Hatam-Mansin, Hatam",Hatim-Mansim,Hatim-Mansim,,"(Papuan) Hatam-Mansin, Hatam","Oceania, Papua New Guinea","Oceania, Melanesia",Papunesia,Papunesia,Reesink 1999:195,,,,y,,,VO,VO,1.0,VO,SVO,,pre,1.0,pre,,,GenN,1.0,GenN,,,,,NDem,1.0,NDem,n,n,n,,,,,,,,y,y,y,pre,n,,,,,unclear (+1),unclear (+pl),,,,,,,,,,,,,,,,,,,,y,,"Reesink 1999:41, 195",,,,,,,,,,reesink1999[195],"reesink1999[41, 195]"
23,Maybrat,ayz,maib1239,may,,Maybrat,,-1.3679,132.591,1.4,-0.2,0.7,-0.8,,,,1.0,(Papuan) Maybrat-Karon,Maybrat-Karon,Maybrat,Maybrat,,(Papuan) Maybrat-Karon,"Oceania, Papua New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Dol 2007:141, 158, 172,  (281)",,,,y,,,VO,VO,1.0,VO,SVO,pre,pre,1.0,pre,pre,"inalienable: Gen N, alienable: N Gen",NoDom,1.0,NoDom,,,N Dem,N Dem,NDem,7.0,NDem,y,n,n,,n,n,,,,,y,y,y,post,n,,all,y,unclear,"all (+1, +3)",unclear,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dol2007[141, 158, 172,  (281)]",
24,Urim,uri,urim1252,uri,,Urim,,-3.58018,142.653,0.2,-0.7,-0.2,0.0,,,,1.0,"(Papuan) Nuclear Torricelli, Urim",Torricelli,Urim,Urim,Torricelli,"(Papuan) Nuclear Torricelli, Urim","Oceania, Papua New-Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Hemmilä & Luoma 1987:123, 125",,,,y,n,n,VO,,0.0,OV,SVO,pre,,0.0,pre,pre,"inalienable: Gen N, alienable: N Gen",,0.0,NoDom,no,,N Dem,N Dem,,0.0,NDem,n,n,n,,n,n (but 3 sg y),,"3 (4), dist",,,y,y,y,pre,n,,all,y,all?,"all (+1, +3)",all? (+sg with proper name),n,y,y,,,,,,n,,,,,,,n,y,y,y,y,,Hemmilä & Luoma 1987:140,y,n,,,,,,,,"hemmilaeluoma1987[123, 125]",hemmilaeluoma1987[140]
25,Yimas,yee,yima1243,yim,,,,-4.71731,143.572,1.2,1.2,1.2,1.2,1.2,1.2,,0.0,"(Papuan) Ramu-Lower Sepik, Karawari",Ramu-Lower Sepik,Lower Sepik,,Sepik,(Papuan) Ramu-Lower Sepik,"Oceania, Papua-New Guinea","Oceania, Melanesia",,Papunesia,Foley 1991,no info wrt person,,,n,,y,,OV,1.0,OV,,,post,1.0,post,,,GenN,1.0,GenN,,,,,NDem,1.0,NDem,n,,,,,,,,,,no info,no info,no info,,n,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,foley1991,
26,Savosavo,svs,savo1255,svs,,Savosavo,,-9.12853,159.814,,,0.3,1.7,,,,,(Papuan) Savosavo,Savosavo,Savosavo,Savosavo,,(Papuan) Savosavo,"Oceania, Solomon Islands","Oceania, Melanesia",Papunesia,Papunesia,"Wegener 2012:147, 155-159",,,,y,,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,,,,Dem N,DemN,1.0,DemN,n,"y? (Wegener 85ff. argues for distinction, but forms a identical except 3pl and an additional alternative form for 3sg.f determiner)",y,ArtN,n,n,y,,,,y,y,y,post,n,,,,,"all? (+1, +2)","all? (+pl, +du)",y,n,,unclear,,,,,,,,,,,,y?,,,y,y_nn,no instances with lexical noun,Wegener 2012:86,,,,,,,y,,,"wegener2012[147, 155-159]",wegener2012[86]
27,Manambu,mle,mana1298,mbu,,Manambu,,-4.19082,142.862,-0.1,-0.7,-0.1,0.1,0.1,-0.6,,1.0,"(Papuan) Sepik, Ndu","Sepik, Ndu",Ndu,"Sepik, Ndu",Sepik,"(Papuan) Sepik, Ndu","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Aikhenvald 2008:197f., 508-513",no relevant info wrt nominal person,,,y,y,"y (gender, number, not case)",OV,,0.0,OV,SOV,post,,0.0,post,post,,,0.0,GenN,agree?,Pron Dem1 Dem2 RC Adj N Q,Dem N,Dem N,,0.0,DemN,y,n,n,,n,n,,"3, pers",,,y,y (restricted?),y,pre,n,,all,y,all,all,all,n,y,y,,,,,,n,,,,n,,,n,y,y,y (only 3 acting article-like),y,only 3rd?,Aikhenvald 2008:198,y,n,,y,"y, subject/topic",,,,,"aikhenvald2008[197f., 508-513]",aikhenvald2008[198]
