ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Gloss_LaTeX
30,61,E kaha rawa atu maatou ngaa kaiako naa ki te patapatai,E	kaha	rawa	atu	[maatou	ngaa	kaiako	naa]	ki	te	pata·patai,TAM	strong	very	away	1PL.EXCL	the.PL	teacher	DEM.2	to	the	REDUP·ask,We teachers ask a lot of questions.,87,WORD_ALIGNED,,"bauer1993[373, (1673)]",\Tam{} strong very away 1\Pl.\Excl{} the.\Pl{} teacher \Dem.2 to the \Redup{}\textperiodcentered{}ask
31,62,Au ttino poto koo leva ne iloa nee au mea kolaa faatoaa iloa nee koe ttagata valea.,Au	ttino	poto	koo	leva	ne	iloa	nee	au	mea	kolaa	faatoaa	iloa	nee	koe	ttagata	valea.,I	the+person	intelligent	PFV	long.time	PST	know	ERG	I	thing	those	just	know	ERG	you	the+man	stupid,"I, an intelligent person, have long known what you, stupid man, are just discovering.",87,WORD_ALIGNED,,"besnier2000[393, (2018)]",I the+person intelligent \Pfv{} long.time \Pst{} know \Erg{} I thing those just know \Erg{} you the+man stupid
32,62,Taatou tino Tuuvalu e see tau ki meakkai kolaa.,Taatou	tino	Tuuvalu	e	see	tau	ki	meakkai	kolaa.,we.INCL	person	Tuvalu	NPST	NEG	befit	to	food	those,We Tuvaluans are not accustomed to that [type of] food.,87,WORD_ALIGNED,,"besnier2000[393, (2019)]",we.\Incl{} person Tuvalu \Npst{} \Neg{} befit to food those
33,63,'agaurua ta'a i 'Ai'eda,'a-gauru-a	ta'a	i	'Ai'eda,FPRON.3TRI-?	people	LOC	'Ai'eda,those Aieda people,87,MORPHEME_ALIGNED,"The status of the -a intervening between pronoun and noun is not clear, see Höhn (2020: 25) for speculation that this might be a reduced article.",keesing1985[104], \Fpron.3\Tri-? people \Loc{} 'Ai'eda
34,63,famerua ta'a geni,fa-meru-a	ta'a	geni,for-SPRON.1TRI.EXCL-?	people	female,for us women,87,MORPHEME_ALIGNED,"The status of the -a intervening between pronoun and noun is not clear, see Höhn (2020: 25) for speculation that this might be a reduced article.",keesing1985[104],for-\Spron.1\Tri.\Excl-? people female
35,64,am garup ke Bok,am	garup	ke	Bok,1EXCL.PL	female.one	of	Bok,we women of Bok village,87,WORD_ALIGNED,,djernes2002[255],1\Excl.\Pl{} female.one of Bok
36,65,Tahati naikno ḡre e kmana puipuhida,Tahati	naikno	ḡre	e	kmana	pui~puhi=da,1PL.INCL	people	DEM.PROX.PL	EMPH	lot.of	DUR~way=1PL.POSS,We people have had many problems.,87,MORPHEME_ALIGNED,,"boswell2018[165, (591)]",1\Pl.\Incl{} people \Dem.\Prox.\Pl{} \Emph{} lot.of \Dur~way=1\Pl.\Poss{}
37,65,Gotilo Honiara falelehe egu,Gotilo	Honiara	fa-le~lehe	egu,2PL	Honiara	CAUS-DUR~die	like.that,"You people of Honiara kill [people], like that.",87,MORPHEME_ALIGNED,,"boswell2018[99, (301)]",2\Pl{} Honiara \Caus-\Dur~die like.that
38,66,"Maki lavati sa pa Solomone, gi taṉani gita nikana hupa.","Maki	lavati	sa	pa	Solomone,	gi	ta-ṉani	gita	nikana	hupa.",NEG.IMP	big	3SG	LOC	Solomons	and	PASS-eat	1PL.INCL	man	black,"Let it [a monkey] not grow big in the Solomons, and we black men be bitten.",87,MORPHEME_ALIGNED,,"davis2003[48, (72a)]",\Neg{}.\Imp{} big 3\Sg{} \Loc{} Solomons and \Pass-eat 1\Pl.\Incl{} man black
39,67,gai nakoni zuzufra,gai	nakoni	zuzufra,we.EXCL	person	black,we black people,87,MORPHEME_ALIGNED,,"palmer2008[95, (3.70a)]",we.\Excl{} person black
40,67,ka gai ira nakoni zuzufra tana nogoi naito tahi ke aḡeuniu,ka	gai	ira	nakoni	zuzufra	tana	nogoi	naito	tahi	ke	aḡe=u=ni=u,LOC	we.INCL	the.PL	person	black	then	VOC	devil	sea	PFV	go=be.thus=3SG.OBJ=CNT,"With us black people, then, man!, sea devil is what its called.",87,MORPHEME_ALIGNED,,"palmer2008[123, (4.1b)]",\Loc{} we.\Incl{} the.\Pl{} person black then \Voc{} devil sea \Pfv{} go=be.thus=3\Sg.\Obj=\Cnt
41,76,na:vu bra:hmaNaru vidyeyannu mareyaba:radu.,na:vu	bra:hmaNaru	vidyeyannu	mareyaba:radu.,we	Brahmin.PL	education.ACC	forget.INF.PROH,We Brahmins shouldnt forget education.,87,WORD_ALIGNED,,"sridhar1990[209, (755)]",we Brahmin.\Pl{} education.\Acc{} forget.\Inf.\Proh
42,77,ɲaŋŋaɭ intyakkaar adhikavum sasyabhuukkukaɭ aaɳə,ɲaŋŋaɭ	intyakkaar	adhikavum	sasyabhuukkukaɭ	aaɳə,we.EXCL	Indians	mostly	vegetarian.PL	be.PRS,We Indians are mostly vegetarians.,87,WORD_ALIGNED,,"asherkumari1997[262, (1340)]",we.\Excl{} Indians mostly vegetarian.\Pl{} be.\Prs{}
43,78,naaŋka iŋliişkaaraŋkellaam kaaramaana vastu caappiʈaratille,naaŋka	iŋliişkaaraŋkellaam	kaaramaana	vastu	caappiʈaratille,we	English.person.PL.all	spicy	thing	eat.PRS.NOM.NEG,We English do not eat hot things.,87,WORD_ALIGNED,,asher1985[146],we English.person.\Pl.all spicy thing eat.\Prs.\Nom{}.\Neg
44,80,ni fyfyrwyr,ni	fyfyrwyr,we	SOFTMUT.student.PL,we students,87,WORD_ALIGNED,provided by David Willis (personal communication),hoehn2025nompers[Supplementary Material S3],we \Softmut.student.\Pl{}
45,81,lad os voksne snakke i fred,lad	os	voksne	snakke	i	fred,let.IMP	1.PL.ACC	adults	talk.INF	in	peace,Let us adults talk in peace.’,87,WORD_ALIGNED,,"schroeter2021[29, (32b)]",let.\Imp{} 1.\Pl.\Acc{} adults talk.\Inf{} in peace
46,82,við/ þið Íslendigar,við/	þið	Íslendigar,we	you.PL	Icelanders,we/ you Icelanders,87,WORD_ALIGNED,,"sigurdssonwood2020[11, (16a)]",we you.\Pl{} Icelanders
47,83,til oss (to) (gamle) professorane,til	oss	(to)	(gaml-e)	professor-a-ne,to	us	two	old-DEF	professor-PL-DEF,to us (two) (old) professors,87,MORPHEME_ALIGNED,,"julien2005[129, (4.36)]",to us two old-\Def{} professor-\Pl-\Def{}
48,84,vi studenter,vi	student-er,we	student-PL,we students,87,MORPHEME_ALIGNED,,"julien2005[128, fn. 18, (ia)]",we student-\Pl{}
49,86,Wij/ jullie taalkundigen denken te veel na.,Wij/	jullie	taalkundigen	denken	te	veel	na.,we	you.PL	linguists	think	too	much	PRTCL,We/you linguists think too much.,87,WORD_ALIGNED,,"corver2008vocative[52, (23a)]",we you.\Pl{} linguists think too much \Prtcl{}
50,88,Wenn noch nicht einmal du Linguist die neue Rechtschreibung beherrschst…,Wenn	noch	nicht	einmal	[du	Linguist]	die	neue	Rechtschreibung	beherrschst…,if	still	NEG	PRTCL	you.SG	linguist	DET.ACC.SG	new	orthography	command.2SG,If not even you linguist have a command of the new orthography rules…,87,WORD_ALIGNED,,"rauh2004[100, (36)]",if still \Neg{} \Prtcl{} you.\Sg{} linguist \Det.\Acc.\Sg{} new orthography command.2\Sg{}
51,90,Emis i ghlosoloji piname.,Emis	i	ghlosoloji	piname.,we	DET.PL	linguists	are.hungry.1PL,We linguists are starving/hungry.,87,WORD_ALIGNED,,"lekakouszendroi2012[114, (12c)]",we \Det.\Pl{} linguists are.hungry.1\Pl{}
52,89,Emì ta pedìa den pìnnome kafè.,Emì	ta	pedìa	den	pìnnome	kafè.,we	DET.N.PL	children.N	NEG	drink.1PL	coffee,We children dont drink coffee.,87,WORD_ALIGNED,,"hoehnetalICGLcalabria[274, (17)]",we \Det.\N.\Pl{} children.\N{} \Neg{} drink.1\Pl{} coffee
53,91,əs' kə:shir' chi kə:r'gar.,əs'	kə:shir'	chi	kə:r'gar.,we	Kashmiris	are	artisans,We Kashmiris are artisans.,87,WORD_ALIGNED,,"walikoul1997[200, (8)]",we Kashmiris are artisans
54,92,āmhi̅ bāyakā nehmi̅ts āplyā kutumbã̅n sāṭhi̅ khapto,āmhi̅	bāyakā	nehmi̅ts	āplyā	kutumbã̅n	sāṭhi̅	khapto,we	women	always-EMPH	REFL	families	for	work.hard-1PL,We women always work hard for the sake of our families.,87,WORD_ALIGNED,,"pandharipande1997[386, (1141)]",we women always-\Emph{} \Refl{} families for {work.hard-1\Pl}
55,93,asĩĩ pañjaabii garam mijaaj de ãã.,asĩĩ	pañjaabii	garam	mijaaj	de	ãã.,we	Punjabi	hot	nature	GEN.M.PL	are,We Punjabis are hot blooded/tempered.,87,WORD_ALIGNED,,"bhatia1993[228, (703)]",we Punjabi hot nature \Gen.\M.\Pl{} are
56,94,ma irania,ma	irani-a,we	Iranian-PL,we Iranians,87,WORD_ALIGNED,,"mahootian1997[212, (356)]",we Iranian-\Pl
57,95,noi pikurarli adrem pini.,noi	pikurar-li	adrem	pini.,we	shepherd-DEF.PL	baled	bread,We shepherds baked bread.,87,MORPHEME_ALIGNED,"elicited, see also Höhn (2016:546)",hoehn2025nompers[Supplementary Material S3],we shepherd-\Def.\Pl{} baled bread
58,96,Voi avocații vă apărați clienții.,Voi	avocații	vă	apărați	clienții.,you.PL	lawyers-DEF	CL.2PL	defend	cuzstomers-DEF,You lawyers defend your clients.,87,WORD_ALIGNED,,"cornilescunicolae2014[10, (20a)]",you.\Pl{} lawyers-\Def{} \Cl.2\Pl{} defend cuzstomers-\Def{}
59,97,nosaltres els bombers,nosaltres	els	bombers,we	DET.PL	firemen,we firemen,87,WORD_ALIGNED,,hualde1992catalan[290],we \Det.\Pl{} firemen
60,98,nos os estudantes,nos	os	estudantes,we	DET.PL	students,we students,87,WORD_ALIGNED,,"hoehn2015unagr[560, (36a)]",we \Det.\Pl{} students
61,99,Nós portugueses bebemos bom café.,Nós	portugueses	bebemos	bom	café.,we	Portuguese	drink.1PL	good	coffee,We Portuguese drink good coffee.,87,WORD_ALIGNED,,hoehn2015unagr[555],we Portuguese drink.1\Pl{} good coffee
62,100,Nosotros los lingüistas somos listos.,Nosotros	los	lingüistas	somos	listos.,we	DET.PL	linguists	be.1PL	smart,We linguists are smart.,87,WORD_ALIGNED,,"choi2014phd[210, (38a)]",we \Det.\Pl{} linguists be.1\Pl{} smart
63,101,noi/ voi linguisti,noi/	voi	linguisti,we	you.PL	linguists,we/you linguists,87,WORD_ALIGNED,,"cardinaletti1994[202, (21a)]",we you.\Pl{} linguists
64,102,Nua i quatrarə iucamə i cartə.,Nua	i	quatrarə	iucamə	i	cartə.,we	DET.PL	children	play.1PL	DET.PL	cards,We children play cards.,87,WORD_ALIGNED,,"hoehnetalICGLcalabria[276, (23b)]",we \Det.\Pl{} children play.1\Pl{} \Det.\Pl{} cards
65,103,Nui i figghioli iocamu e carti.,Nui	i	figghioli	iocamu	e	carti.,we	DET.PL	children	play.1PL	DET.PL	cards,We children play cards.,87,WORD_ALIGNED,,"hoehnetalICGLcalabria[276, (23c)]",we \Det.\Pl{} children play.1\Pl{} \Det.\Pl{} cards
66,104,my leningradcy,my	leningradcy,we	Leningrader.PL,we Leningraders,87,WORD_ALIGNED,,"pesetsky1978[352, (4c)]",we Leningrader.\Pl
67,105,nie studentite,nie	student-i-te,we	students-PL-DEF,we students,87,MORPHEME_ALIGNED,,hoehn2015unagr[560],we students-\Pl-\Def
68,107,'nami Po'matsemse no na pʌ'maga 'nikutri,'nami	Po'matsem-se	no	na	pʌ'maga	'nikutri,we.DAT	Pomak.DAT.PL-DET.PROX	1PL.ACC	NEG	help.3SG	nobody,Nobody helps us Pomaks.,87,MORPHEME_ALIGNED,,papadimitriou2008[582],we.\Dat{} Pomak.\Dat.\Pl{}-\Det.\Prox{} 1\Pl.\Acc{} \Neg{} help.3\Sg{} nobody
69,110,My lingwiści lubimy formalizację.,My	lingwiści	lubimy	formalizację.,we	linguists	like.1PL	formalisation,We linguists like formalisation.,87,WORD_ALIGNED,,"rutkowski2002[161f., (3b)]",we linguists like.1\Pl{} formalisation
70,112,sa k͜hoeta ké nĩ ra ǁ'o.,sa	k͜hoe-ta	ké	nĩ	ra	ǁ'o.,ART.ADDR	person-1PL.INCL.COMMON	TOP?	COMPEL	PROG	die,We humans have to die.,87,MORPHEME_ALIGNED,,"boehm1985[133, (27b)]",\Art{}.\Addr{} person-1\Pl{}.\Incl{}.\Common{} \Top{}? \Compel{} \Prog{} die
71,113,Hè é tó Khwétò dì góέ à tó ò ǁé Qúvaǁè ǂxàátè à.,Hè_é	tó	Khwé-tò	dì	góέ	à	tó	ò	ǁé	Qúva-ǁè	ǂxà-á-tè	à.,DEM	2PL.COMMON	Khwe-2PL.COMMON	POSS	cattle	OBJ	2PL.COMMON	POSS	1PL.M	White-1PL.M	give-I-PRS	OBJ,"Here are yours, the Khwes cows that we, the Whites, give you.",87,MORPHEME_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"kilianhatz2008[41, (1) quoting Köhler 1989:514f.]",\Dem{} 2\Pl{}.\Common{} Khwe-2\Pl{}.\Common{} \Poss{} cattle \Obj{} 2\Pl{}.\Common{} \Poss{} 1\Pl{}.\M{} White-1\Pl{}.\M{} give-I-\Prs{} \Obj{}
72,115,Nubaha wow mukire.,N-ubah-a	wow	mu-kire.,1SG.SUBJ-respect-FV	2SG	NCL1-rich.man,I respect you rich man.,87,MORPHEME_ALIGNED,,"vanderwal2022[69, (73a)]",1\Sg.\Subj-respect-\Fv{} 2\Sg{} \Ncl{}1-rich.man
73,118,Ffe abantu abaavu ffe tubonaabona.,Ffe	abantu	abaavu	ffe	tubonaabona.,we	people	poor	1PL	suffer,We poor people suffer.,87,WORD_ALIGNED,elicited with Jenneke van der Wal from Saudah Namyalo (pers. comm.),hoehn2025nompers[Supplementary Material S3],we people poor 1\Pl{} suffer
74,119,itwe abanyankore nituhinga ebinyoobwa,itwe	abanyankore	ni-tu-hinga	ebinyoobwa,we	Banyankole	PRS.IPFV-1PL-cultivate	groundnuts,We Banyankole grow groundnuts.,87,MORPHEME_ALIGNED,,"taylor1985[131, (368)]",we Banyankole \Prs.\Ipfv-1\Pl-cultivate groundnuts
75,120,ntə̂m. yε kó luzíŋ ↓é bï andzéé bǐ k yéè ntswé ninyá bɔ. atá…,ntə̂m.	yε	kó	luzíŋ	↓é	bï	andzéé	bǐ	k	yéè	ntswé	ninyá	bɔ.	atá[…],taste	and	LOC	life	of	us	Nzadi.people	we	NEG.PRS	sell	fish	that	NEG	even,"… tasty. In the tradition of us Nzadi, we dont sell that fish. Even…",87,WORD_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"craneetal2011[279, (10)]",taste and \Loc{} life of us Nzadi.people we \Neg.\Prs{} sell fish that \Neg{} even
76,121,Nyinyi wanafunzi mmecheka.,Nyinyi	wa-nafunzi	m-me-cheka.,you.PL	NCL2-student	2PL-PST-laugh,You students laughed.,87,MORPHEME_ALIGNED,"elicited from Vital Kazimoto (pers. comm.), cf. also Höhn (2016:546)",hoehn2025nompers[Supplementary Material S3],you.\Pl{} \Ncl{}2-student 2\Pl{}-\Pst-laugh
77,122,yìa vɨ́ɨ ndâa gə́ ntó',yìa	vɨ́ɨ	ndâa	gə́	ntó',we.EXCL	people	smithy	go-PRS	palace,"We, the blacksmiths, go to the palace.",87,WORD_ALIGNED,,"schaub1985[197, (134a)]",we.\Excl{} people smithy go-\Prs{} palace
78,123,ʊkɔ (a) korombʌ,ʊkɔ	(a)	korombʌ,we	ART	Koromba,we Koromba,87,WORD_ALIGNED,,"rennison1997[251, (585)]",we \Art{} Koromba
79,124,wùu shìin taanré,wùu	shìin	taanré,we	person.NCL1.PL	three,we three,87,WORD_ALIGNED,,"carlson1994[208, (45a)]",we person.\Ncl{}1.\Pl{} three
80,15,Nyi täŋgaŋi Matiu iquki kukŋuä hni yatŋqä kimŋqäi.,Nyi	tä=ŋga=ŋi	Matiu	i=qu=k=i	kukŋuä	hn=i	yatŋqä	k-i-m=ŋqä=i.,1SG	this=TIME=GVN	Matthew	DEM=M=2SG=OBJ	talk	INDF=F	ask	2SG-do-1SG/IRR=GOAL=IND,Im now going to ask you Matthew something.,87,MORPHEME_ALIGNED,,"whitehead2006[30, (58)]",1\Sg{} this=\textsc{time}=\Gvn{} Matthew \Dem=\M={2\Sg}=\Obj{} talk \Indf=\F{} ask 2\Sg-do-1\Sg/\Irr=\textsc{goal}=\Ind{}
81,15,Ne ämaqä qokä iqune yiämisaŋä huiyinä qw änkqäqui.,Ne	ämaqä	qokä	i=qu=ne	yiämisaŋä	huiyi=nä	qw	ä-n-k-qäqu=i.,1PL	person	man	DEM=M=1PL	food	other=FOC	CERT	ASS-eat-PST/PFV-1PL/DSO=IND,Then we men ate some other food.,87,MORPHEME_ALIGNED,,"whitehead2006[30, (59)]",1\Pl{} person man \Dem=\M={1\Pl} food other=\Foc{} \Cert{} \Ass-eat-\Pst/\Pfv{}-1\Pl/\Dso=\Ind{}
82,15,Hnquki quwä ämatqäi,Hn=qu=ki	quwä	ä-ma-t-qä=i,INDF=M=2SG	steal	ASS-get-2SG/IRR-GENERIC=DEF,Should one of you steal something…,87,MORPHEME_ALIGNED,,"whitehead2013[9, (18)]",\Indf{}=\M=\textbf{2\Sg} steal \Ass-get-2\Sg/\Irr-\Generic=\Def{}
83,16,"Yery mu, baso nenwu wutaru.","Yery	mu,	baso	nenwu	wu-ta-r-u.",1PL	women	child	belly	INAN:be.at-STVZR-1PLSG-NMLZ,"For we women, we get pregnant (lit. children are in our bellies).",87,MORPHEME_ALIGNED,,"honeyman2016[568, (4)]",1\Pl{} women child belly \Inan:be.at-\Stvzr-1\Pl\Sg{}-\Nmlz
84,17,ka sebuhe tõgõ filit,ka	sebuhe	tõgõ	fi-li-t,1	devil	thus	do-EMPH-CF,We devils should have done it like that.,87,MORPHEME_ALIGNED,,"seiler1985[61, (8)]",1 devil thus do-\Emph-\Cf
85,18,engea Solomoniama maba posongela,enge=a	Solomoni=a=ma	maba	poso=ngela,1PL.EXCL=LIG	Solomon=LIG=3SG.F	person	PL.M=1PL.EXCL,"we, Solomon people",87,MORPHEME_ALIGNED,,"obata2003[85, (7.35)]",1\Pl{}.\Excl{}=\Lig{} Solomon=\Lig=3\Sg{}.\F{} person \Pl{}.\M{}=1\Pl{}.\Excl{}
86,18,… laizamumela inio me.,…	lai=za=mu=mela	inio	me.,{}	where=LIG=3PL=2PL	FOC.NF	2PL,… you are people from where?,87,MORPHEME_ALIGNED,,"obata2003[88, (7.49)]",{} where=\Lig=3\Pl{}=2\Pl{}{} \Foc{}.\Nf{} 2\Pl{}
